StopID	Name	StopAreaNumber	WGS84 Lat	WGS 84 Long	Zone	Type	Added	Changed	SiteID	Name		
13052	Älvsjö station	13051	59.2793133207874	18.0113199434843	A	BUSTERM	2014-02-18 00:00:00.000	2014-02-18 00:00:00.000	3009529	Älvsjö station		
13053	Västertorps skola	13053	59.2903800033261	17.9689735790256	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1666	Västertorps skola		
13050	Turingevägen	13049	59.2734400080622	18.0203883702654	A	BUSTERM	2014-02-18 00:00:00.000	2014-02-18 00:00:00.000	1958	Turingevägen		
13051	Älvsjö station	13051	59.2789766377625	18.0103749904679	A	BUSTERM	2014-02-18 00:00:00.000	2014-02-18 00:00:00.000	3009529	Älvsjö station		
13056	Kämpetorpsskolan	13055	59.2834082892606	17.9950616349050	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1785	Kämpetorpsskolan		
13057	Nippervägen	13057	59.2853916524933	17.9936033717629	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1786	Nippervägen		
13054	Västertorps skola	13053	59.2903519277239	17.9690420076213	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1666	Västertorps skola		
13055	Kämpetorpsskolan	13055	59.2842583628514	17.9938399309417	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	1785	Kämpetorpsskolan		
65039	Eneberg	65039	59.7546440588127	18.6897717334132	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6004	Eneberg		
75546	Stav	75546	59.0340504963486	17.5983019008163	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	7860	Stav		
41565	Ekbacken	41565	59.3444336451605	18.5933696217216	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	4522	Ekbacken		
41564	Saltarö udd	41563	59.3423055239462	18.5866189637969	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	4523	Saltarö udd		
41567	Saltarö gård	41567	59.3420300627256	18.6011729603399	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	4521	Saltarö gård		
41566	Ekbacken	41565	59.3452356488986	18.5903052674749	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	4522	Ekbacken		
41561	Kopparmora	41561	59.3396386442041	18.5836405034985	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	4524	Kopparmora		
41560	Propellervägen	41559	59.3341229451991	18.567632565855	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	4525	Propellervägen		
41563	Saltarö udd	41563	59.3425487042111	18.5870081057093	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	4523	Saltarö udd		
41562	Kopparmora	41561	59.3397294264547	18.5835951734514	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	4524	Kopparmora		
62085	Haga	62085	59.63900115364	18.6397491064092	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6354	Haga		
62084	Bergshamra pensionat	62083	59.6403320196405	18.629270864546	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6353	Bergshamra pensionat		
62087	Bergshamraviken	62087	59.6391837114301	18.6454232409999	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6355	Bergshamraviken		
62086	Haga	62085	59.6389712578322	18.6390547696833	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6354	Haga		
41569	Saltarö strand	41569	59.3406282036472	18.6095677022221	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	4520	Saltarö strand		
41568	Saltarö gård	41567	59.3421575368706	18.6006735224732	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	4521	Saltarö gård		
62083	Bergshamra pensionat	62083	59.6403795158481	18.6291506794349	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6353	Bergshamra pensionat		
62082	Bergshamra mejeri	62081	59.6419054789439	18.6266888345836	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6352	Bergshamra mejeri		
