name;lat;lon;sa;id;gtfsid;gtfsname;gtfslat;gtfslon
Gasverket;59356168;18088265;200110695;1164;7446166;Gasverket;59.355526317756;18.087553780923
Storängskroken;59353858;18086386;200110713;1165;7446171;Storängskroken;59.353358314788;18.085720029953
Storängsvägen;59351772;18084157;200110723;1166;7446175;Storängsvägen;59.351832091966;18.084158125167
Ryttarstadion;59350406;18083042;200110715;1167;7446173;Ryttarstadion;59.350391249096;18.082848260073
Motalavägen;59353193;18096328;200110697;1168;7446167;Motalavägen;59.353190299307;18.096330557873
Magasin 3;59342567;18118909;200110010;1169;7445953;Magasin 3;59.34256373916;18.118891237142
Frihamnen;59341875;18118316;200110028;1170;7401174;Stockholm Frihamnen;59.341502386729;18.117975222155
Frihamnsporten;59340833;18113884;200110052;1171;7445972;Frihamnsporten;59.340465147054;18.114177896021
Lindarängsvägen;59339403;18112419;200110051;1172;7445971;Lindarängsvägen;59.339471560052;18.112475639387
Sehlstedtsgatan;59342199;18112787;200110054;1173;7445973;Sehlstedtsgatan;59.342227336947;18.112029649999
Sehlstedtsgatan;59342199;18112787;200110054;1174;7445973;Sehlstedtsgatan;59.342227336947;18.112029649999
Östhammarsgatan;59342936;18110351;200110056;1175;7445974;Östhammarsgatan;59.342939434893;18.110355041495
Malmvägen;59347538;18113551;200110853;1176;7446205;Malmvägen;59.347570123936;18.113570061955
Universitetet södra;59360842;18056479;200169011;1177;7445510;Universitetet södra;59.360412074835;18.055992237223
Frescati;59371342;18050977;200151554;1178;7421646;Frescati;59.370578612957;18.050701017847
Frihamnen;59341875;18118316;200110028;1179;7401174;Stockholm Frihamnen;59.341502386729;18.117975222155
Lektorsstigen;59369571;18066960;200160313;1180;7467499;Lektorsstigen;59.369570655325;18.066944099344
Stora Skuggan;59364483;18070655;200110109;1181;7445998;Stora Skuggan;59.364486578626;18.0706518338
Stora Lappkärrsberget;59369553;18062879;200160311;1182;7467498;Stora Lappkärrsberget;59.369585635101;18.062968831579
Professorsslingan;59369805;18061081;200160309;1183;7467497;Professorsslingan;59.370127751575;18.060699988138
Ekhagsvägen;59371297;18054088;200160305;1184;7467495;Ekhagsvägen;59.371291571102;18.054143945835
Ekhagstorget;59372636;18053809;200160307;1185;7467496;Ekhagstorget;59.372600035815;18.053773059848
Bergiusvägen;59370281;18053530;200160303;1186;7467494;Bergiusvägen;59.370350792097;18.053501070262
Lektorsstigen;59369571;18066960;200160313;1187;7467499;Lektorsstigen;59.369570655325;18.066944099344
Lektorsstigen;59369571;18066960;200160313;1188;7467499;Lektorsstigen;59.369570655325;18.066944099344
Naturhistoriska riksmuseet;59367665;18052955;200110511;1189;7446119;Naturhistoriska riksmuseet;59.368057418579;18.052663217883
Långvik;59296417;18771876;200100119;1190;7423240;Långvik (Runmarö) brygga;59.296183307108;18.771853355624
Långvik;59296417;18771876;200100119;1191;7423240;Långvik (Runmarö) brygga;59.296183307108;18.771853355624
Långvik;59296417;18771876;200100119;1192;7423240;Långvik (Runmarö) brygga;59.296183307108;18.771853355624
Långvik;59296417;18771876;200100119;1193;7423240;Långvik (Runmarö) brygga;59.296183307108;18.771853355624
Långvik;59296417;18771876;200100119;1194;7423240;Långvik (Runmarö) brygga;59.296183307108;18.771853355624
Långvik;59296417;18771876;200100119;1195;7423240;Långvik (Runmarö) brygga;59.296183307108;18.771853355624
Långvik;59296417;18771876;200100119;1196;7423240;Långvik (Runmarö) brygga;59.296183307108;18.771853355624
Långvik;59296417;18771876;200100119;1197;7423240;Långvik (Runmarö) brygga;59.296183307108;18.771853355624
Långvik;59296417;18771876;200100119;1198;7423240;Långvik (Runmarö) brygga;59.296183307108;18.771853355624
Långvik;59296417;18771876;200100119;1199;7423240;Långvik (Runmarö) brygga;59.296183307108;18.771853355624
Kungsholmstorg;59329218;18042051;200110377;1200;7446080;Kungsholmstorg;59.329282542721;18.043266579235
Kungsholmstorg;59329218;18042051;200110377;1201;7446080;Kungsholmstorg;59.329282542721;18.043266579235
Polhemsgatan;59330027;18035893;200110373;1202;7446078;Polhemsgatan;59.330165670289;18.035750447247
Landstingshuset;59329407;18040595;200110375;1203;7446079;Landstingshuset;59.329422233978;18.040358616509
Kungsholms kyrka;59328391;18047651;200110379;1204;7446081;Kungsholms kyrka;59.328491365332;18.047502303649
Stadshuset;59327987;18054573;200110381;1205;7446082;Stadshuset;59.327991068693;18.05412932204
John Ericssonsgatan;59328688;18037529;200110530;1206;7446125;John Ericssonsgatan;59.32868939148;18.037533996112
Pontonjärparken;59329102;18032496;200110524;1207;7446121;Pontonjärparken;59.328960868665;18.033738479582
Fridhemsgatan;59330162;18027453;200110528;1208;7446123;Fridhemsgatan/Pontonjärgatan;59.330163658378;18.027455622394
Kungsholmstorg;59329218;18042051;200110377;1209;7446080;Kungsholmstorg;59.329282542721;18.043266579235
Kungsbroplan;59332356;18048703;200110016;1210;7445956;Kungsbroplan;59.332399936788;18.048410072162
Bolinders plan;59330207;18050447;200110535;1211;7446127;Bolinders plan;59.330001327245;18.050554125104
Pipersgatan;59331124;18047427;200110533;1212;7446126;Pipersgatan;59.331107880737;18.04730562027
Rådhuset;59330962;18044065;200110557;1213;7445261;Stockholm Rådhuset;59.331035103963;18.04422537032
S:t Eriks ögonsjukhus;59333857;18037538;200110012;1214;7445954;S:t Eriks ögonsjukhus;59.333760546362;18.038200552679
Inedalsgatan;59334405;18035741;200110238;1215;7446044;Inedalsgatan;59.334478655137;18.0355937308
Scheelegatan;59332994;18044280;200110014;1216;7445955;Scheelegatan;59.33296690383;18.044159132914
Kronobergsgatan;59336536;18036172;200110074;1217;7445981;Kronobergsgatan (på Kungsholms;59.33666997431;18.035579164159
Kungsbroplan;59332356;18048703;200110016;1218;7445956;Kungsbroplan;59.332399936788;18.048410072162
Kungsbroplan;59332356;18048703;200110016;1219;7445956;Kungsbroplan;59.332399936788;18.048410072162
Fridhemsplan;59332949;18030779;200101151;1220;7421661;Fridhemsplan T-bana;59.334371523765;18.032405509717
Fridhemsplan;59332949;18030779;200101151;1221;7421661;Fridhemsplan T-bana;59.334371523765;18.032405509717
Fridhemsplan;59332949;18030779;200101151;1222;7421661;Fridhemsplan T-bana;59.334371523765;18.032405509717
Fridhemsplan;59332949;18030779;200101151;1223;7421661;Fridhemsplan T-bana;59.334371523765;18.032405509717
Fridhemsplan;59332949;18030779;200101151;1224;7421661;Fridhemsplan T-bana;59.334371523765;18.032405509717
Fridhemsplan;59332949;18030779;200101151;1225;7421661;Fridhemsplan T-bana;59.334371523765;18.032405509717
Fridhemsplan;59332949;18030779;200101151;1226;7421661;Fridhemsplan T-bana;59.334371523765;18.032405509717
Fridhemsplan;59332949;18030779;200101151;1227;7421661;Fridhemsplan T-bana;59.334371523765;18.032405509717
Fridhemsplan;59332949;18030779;200101151;1228;7421661;Fridhemsplan T-bana;59.334371523765;18.032405509717
Kronobergsgatan;59330917;18031713;200110371;1229;7446077;Kronobergsgatan (på Hantverkar;59.330880812787;18.031737745125
Stadshagen;59337480;18015596;200103161;1230;7421662;Stadshagen T-bana;59.336963123377;18.017318312006
Mariebergsgatan;59331043;18023893;200110421;1231;7446095;Mariebergsgatan;59.331560558886;18.02399683998
S:t Görans sjukhus;59335043;18021439;200110428;1232;7446099;S:t Görans sjukhus;59.335293721037;18.02097107775
Stadshagsplan;59337372;18021250;200110001;1233;7445948;Stadshagsplan;59.337395959792;18.021441930292
John Bergs plan;59336140;18022284;200110002;1234;7445949;John Bergs plan;59.336274150608;18.021931322108
Kulturskolans hus;59334666;18025097;200110266;1235;7446056;Kulturskolans hus;59.334774747089;18.025085185408
Arbetargatan;59335232;18026994;200110006;1236;7445951;Arbetargatan;59.335212461479;18.02732832384
Stadshagen;59337480;18015596;200103161;1237;7421662;Stadshagen T-bana;59.336963123377;18.017318312006
Stadshagen;59337480;18015596;200103161;1238;7421662;Stadshagen T-bana;59.336963123377;18.017318312006
Stadshagen;59337480;18015596;200103161;1239;7421662;Stadshagen T-bana;59.336963123377;18.017318312006
Idholmen;59299060;18856860;200100124;1240;7424057;Idholmen brygga;59.298629507768;18.857613251075
Idholmen;59299060;18856860;200100124;1241;7424057;Idholmen brygga;59.298629507768;18.857613251075
Idholmen;59299060;18856860;200100124;1242;7424057;Idholmen brygga;59.298629507768;18.857613251075
Idholmen;59299060;18856860;200100124;1243;7424057;Idholmen brygga;59.298629507768;18.857613251075
Idholmen;59299060;18856860;200100124;1244;7424057;Idholmen brygga;59.298629507768;18.857613251075
Idholmen;59299060;18856860;200100124;1245;7424057;Idholmen brygga;59.298629507768;18.857613251075
Idholmen;59299060;18856860;200100124;1246;7424057;Idholmen brygga;59.298629507768;18.857613251075
Idholmen;59299060;18856860;200100124;1247;7424057;Idholmen brygga;59.298629507768;18.857613251075
Idholmen;59299060;18856860;200100124;1248;7424057;Idholmen brygga;59.298629507768;18.857613251075
Idholmen;59299060;18856860;200100124;1249;7424057;Idholmen brygga;59.298629507768;18.857613251075
Eyvind Johnssons gata;59339853;18008081;200110481;1250;7464035;Eyvind Johnssons gata;59.339812735788;18.009716348361
Strandbergsgatan;59337030;18009744;200110429;1252;7446102;Nordenflychtsvägen;59.337608834048;18.007288529752
Mariedalsvägen;59338414;18013960;200110425;1253;7446097;Mariedalsvägen;59.338700020051;18.013915663781
Eyvind Johnssons gata;59339853;18008081;200110481;1254;7464035;Eyvind Johnssons gata;59.339812735788;18.009716348361
Mariedal;59338972;18017007;200110070;1255;7445980;Mariedal;59.339051574641;18.01701463446
Igeldammsgatan;59338810;18022598;200110077;1256;7445983;Igeldammsgatan;59.338726227998;18.023479717544
Industrigatan;59338307;18025888;200110079;1257;7445985;Industrigatan;59.338063663888;18.027057499408
Fridhemsgatan;59337201;18032199;200110078;1258;7445984;Fridhemsgatan (på Kungsholms s;59.337233503525;18.03203035798
Frödingsvägen;59330450;18002220;200110902;1259;7446214;Frödingsvägen;59.330448001905;18.002203416443
Fredhäll;59330054;18002705;200110439;1260;7446104;Fredhäll;59.330046019675;18.003144001123
Vitalisvägen;59329524;18006094;200110445;1261;7446105;Vitalisvägen;59.329559997697;18.005871585133
Viktor Rydbergs gata;59329021;18008503;200110447;1262;7446106;Viktor Rydbergs gata;59.328829722094;18.009233472755
Wennerbergsgatan;59328643;18012243;200110466;1263;7446113;Wennerbergsgatan;59.328513810883;18.013043830733
Fredhäll;59330054;18002705;200110439;1264;7446104;Fredhäll;59.330046019675;18.003144001123
